recipe_slug	score_bound
falafel	2.231874360263232
spamburger	1.9550686013868477
bacon-fried-rice	2.3552810321575524
chicken-fingers	2.7201929243403495
apple-crisp	2.2637433850445743
cranberry-apple-crisp	2.3286156060617387
bacon-chocolate-chip-cookies	2.1799195099826534
sujebi	1.9147816168908576
pasta-primavera	2.1552722652349736
ramen	1.9517455783041644
brownies	2.267210141102836
bacon-wrapped-scallops	1.8183297195192296
bacon-egg-muffins	2.2766865157693084
breakfast-burritos	2.305617550700714
bolognese-sauce	2.268307731629803
croissants	2.3188717565550445
bacon-souffle	2.034796201646337
souffle	2.244096255055389
chocolate-souffle	2.050012844823479
butter-croissants	2.0083983995301757
pickled-green-beans	2.2574934508356175
fried-oysters	1.825885451002144
peanut-butter-brownies	2.1330988295074915
almond-chip-cookies	2.2186442586512327
guacamole	2.3968126551171127
brioche-bread	2.337043236990128
brioche-bread-with-chocolate	2.1965111816585163
asparagus-quiche	2.32041075684198
asparagus-burger	2.7969382779468996
ma-la-chicken	2.839586314501952
cold-noodles-with-tomatoes	2.370955380838571
tamales	2.842737081018569
enchiladas	2.325836849991221
tacos	2.808009008281692
burritos	2.276656204816214
peanut-butter-cupcakes	2.2773441398157925
pickled-asparagus	2.2463237390374386
chocolate-peanut-butter-cake	2.181949742337379
udon	2.2233495325557215
vegetable-lasagna	1.9825378219105692
maple-bacon-donuts	2.2620975331135544
maple-bacon-pancakes	2.2373300221602532
spinach-and-ricotta-stuffed-shells	2.0370095277846807
quesadillas	2.8446096339566203
pico-de-gallo	2.284329133834565
nachos	2.323823958718059
cold-soba-noodles-with-tomato-and-cucumber	2.2709902753283417
fajitas	2.821109179792179
loaded-nachos	2.24751802064828
lasagna	2.155859645673547
chicken-nuggets	2.8093216322369425
pain-au-chocolat	2.380151631671405
nacho-dip	2.215760085781642
nacho-salad	2.7947049139608726
nacho-casserole	2.23151461202599
nacho-fries	1.9895632291057435
tempura-udon	2.2727680348902313
peach-crisp	2.1893237023531125
apple-pie	2.3472967202625776
blueberry-crisp	2.1028086283597913
berry-crumble	2.0122481398257155
strawberry-rhubarb-crisp	2.356200966826112
peach-cobbler	2.199233866015373
cranberry-sauce	2.2859125791045645
cherry-cobbler	2.134774964304067
apple-crumble	2.367937138293307
chocolate-croissants	2.1499383089879314
french-toast	2.2245876791818553
chocolate-babka	2.352087084622998
cinnamon-babka	2.1247156064332806
blueberry-crumble	2.065899685957374
spam-musubi	1.9141768365213647
taco-salad	2.7917380003892207
chiles-rellenos	2.247664766365339
almond-croissants	2.2074621918311403
cranberry-relish	2.2859125791045645
ma-la-beef	2.737422757637831
chocolate-cake	2.172981354069451
spinach-quiche	2.207808154083007
mushroom-quiche	1.8796918238603915
quiche-lorraine	2.2967854894334097
croissant-aux-amandes	2.3417360936086697
danishes	2.3003625644454737
spinach-and-feta-quiche	2.2526580774491265
cold-sesame-noodles	2.2693518579747676
soba-noodle-salad-with-peanut-dressing	2.2938949745942554
dan-dan-noodles	2.4063007027278998
vanilla-souffle	2.2961633837761117
bacon-wrapped-dates	2.2191732680934706
cherry-pie	2.237444973625803
berry-crisp	2.1721253054668925
bacon-and-egg-breakfast-sandwich	2.269552288490212
bacon-wrapped-shrimp-skewers	1.860759403592036
bacon-wrapped-chicken	2.8006612208622554
bacon-wrapped-asparagus	2.3140982393778264
bacon-mac-and-cheese	2.3291859257849374
chicken-alfredo-lasagna	2.650310447612628
classic-beef-lasagna	2.559035619018822
vegetarian-mushroom-lasagna	1.7800381403838614
spinach-and-ricotta-lasagna	2.187059148623051
