dim	coefficient
0	296.30063182291946
1	300.14801995820426
2	284.1176201492404
3	308.70591749943935
4	296.70470591652474
5	296.9578771016134
6	287.8682010119386
7	298.76144880227116
8	301.9240201000841
9	301.4714679444951
10	301.1948644105071
11	289.6103659053632
12	312.3111929924819
13	290.6523855449386
14	300.4432294104987
15	304.2787692296582
16	290.5003377320369
17	313.9494528687781
18	293.81194966211257
19	300.2132229104518
20	301.603838588288
21	300.85817652246664
22	304.22212608514394
23	299.08712460357845
24	300.8115765917736
25	304.5265148950406
26	305.03799008544985
27	298.5325651554157
28	289.7465915591905
29	304.4273486263496
30	295.93542868702116
31	298.64225601869293
32	299.39514775284306
33	296.44016475382034
34	297.1018899869425
35	300.68916623406477
36	298.14170943777583
37	309.4917065266249
38	304.58072255431773
39	296.8812050760067
40	300.0712892701712
41	298.00695328502536
42	301.4925553635206
43	304.07958507163113
44	283.7391697486808
45	295.9117007385946
46	276.66677474526284
47	299.5816512036983
48	276.81476622006414
49	296.2571215855927
50	295.43825119506596
51	285.2592029001211
52	273.8868156038953
53	311.0320761186437
54	306.67032674688716
55	297.0371309702222
56	298.23582849389834
57	314.96257974036916
58	312.024147046611
59	289.2994724594097
60	283.6425255558523
61	308.8333652672875
62	307.86264653321496
63	307.24640742812113
64	299.0740912799164
65	295.55890656673455
66	299.130607699264
67	290.89822938946065
68	300.03505307708133
69	299.3857151060256
70	300.7324765694342
71	309.6271968025038
72	296.5308198082239
73	295.2424480255972
74	307.97118303419745
75	289.9538463731472
76	312.7071200064519
77	311.2676552897723
78	293.1377936417108
79	297.91239208484694
80	298.08592188570583
81	299.3593285678983
82	300.4423017655115
83	288.5127665057874
84	306.6102285706078
85	302.5941074228456
86	290.49308709362236
87	304.04101655074754
88	295.48180417196716
89	276.00942128752746
90	304.3835497342897
91	299.9215110017475
92	294.18408716499124
93	305.8661708416572
94	306.4605208170784
95	288.7499738575326
96	293.7379144398003
97	301.3590540528785
98	303.42532950401574
99	304.43296701918194
100	289.40499259057725
101	297.3420578009081
102	307.0693840566389
103	299.5797129940586
104	283.0827932576563
105	301.8858494530952
106	298.7776727828675
107	304.44331753943186
108	300.01450182980346
109	355.64918117701774
110	293.90661682981204
111	296.1191437251596
112	295.59274591582425
113	301.4952250547791
114	286.3235433666137
115	272.0529154184909
116	302.17259626298437
117	297.4837331421192
118	300.88252686865485
119	307.98024107796175
120	287.1396949548441
121	299.8154912910198
122	294.0721874315623
123	291.6530906818439
124	300.1009197695877
125	306.0615251901378
126	295.00568706372724
127	297.53600502090995
128	284.69643937374923
129	281.1104243222273
130	305.413649649494
131	305.7973520523536
132	298.41828209391736
133	302.0414160387697
134	309.0956857146641
135	283.54670263979983
