action	state	reward
do-nothing	exposed-1	0.0
do-nothing	exposed-2	0.0
do-nothing	exposed-3	0.0
do-nothing	recovered	0.0
do-nothing	symptoms-1	-1.0
do-nothing	symptoms-2	-1.0
do-nothing	symptoms-3	-1.0
drink-oj	exposed-1	0.0
drink-oj	exposed-2	0.0
drink-oj	exposed-3	0.0
drink-oj	recovered	0.0
drink-oj	symptoms-1	-1.0
drink-oj	symptoms-2	-1.0
drink-oj	symptoms-3	-1.0
sleep-8	exposed-1	0.0
sleep-8	exposed-2	0.0
sleep-8	exposed-3	0.0
sleep-8	recovered	0.0
sleep-8	symptoms-1	-1.0
sleep-8	symptoms-2	-1.0
sleep-8	symptoms-3	-1.0
