curr_state	curr_action	next_reward	next_state
1090	-1	0	1097
1097	1	0	1234
1234	0	0	1242
1242	-1	0	1249
1249	0	0	1385
1385	-1	0	1520
1520	0	0	1648
1648	0	0	1776
1776	-1	0	1911
1911	-1	0	2030
2030	1	0	2023
2023	0	0	2015
2015	0	0	2007
2007	1	0	1992
1992	1	0	1993
1993	0	0	2001
2001	-1	0	2008
2008	-1	0	2015
2015	0	0	2007
2007	-1	0	1998
1998	0	0	1990
1990	-1	0	1981
1981	-1	0	1844
1844	1	0	1717
1717	-1	0	1580
1580	0	0	1452
1452	-1	0	1323
1323	0	0	1203
1203	0	0	1083
1083	1	0	964
964	0	0	836
836	0	0	708
