recipe_tag	coefficient
bias	0.4145650541458185
alfredo	0.11776252617261565
almond	0.005163563309517145
american	-0.004139171421429459
appetizer	-0.029790699650741655
appetizers	-0.018681863389763423
apple	0.014798406635473847
asiancuisine	0.0121847930714736
asparagus	0.061568153495260264
avocado	0.10881343485217132
bacon	0.0092973578317029
baked	0.013460247695119755
bakeddishes	0.018007677289883693
bakery	0.0025138083428517793
baking	0.019170641551220342
beans	-0.029101576133797716
beef	0.14697786970356552
bellpeppers	0.02395606334285069
berries	0.004468956338511258
blackbeans	0.02395606334285069
blackvinegar	-0.030569506553941698
blueberry	0.00205199815968464
boiledeggs	-0.04075073551182348
bokchoy	-0.04075073551182348
braided	-0.002450666669378343
bread	-0.009018324671023092
breaded	0.038617197220007705
breakfast	0.04894504740709465
breakfastpastry	0.008538068141485186
brioche	-0.010647990048076624
broiling	-0.03547067838504491
brownies	0.005668139853176695
brownsugar	-0.0007556900243596402
brunch	-0.0023094874369893343
burger	0.06706394947939709
burritos	0.00515363179232721
buttery	0.014587037208465888
cake	0.004308045418049546
carrots	-0.04075073551182348
casserole	0.018263237520312704
celebration	0.029891392987637596
cheese	-0.004204144222922701
cheesy	0.1246960721179286
cherry	0.010906346875842757
chicken	0.19029438007799487
chickpeas	0.06706394947939709
chilioil	0.0075445239433341894
chilipowder	0.02395606334285069
chinese	0.02398990241962693
chinesecookingwine	0.03811403049727589
chinesecuisine	0.05004854530604602
chocolate	0.008193188036074557
chocolatechip	0.0048141207389097865
chocolatecroissant	0.008538068141485186
christmas	0.008214137278319168
cilantro	-0.003009373710936812
cinnamon	0.004133951904933989
citrus	0.004107068639159576
classic	0.0059787411666674785
cloves	0.002955744343086165
cobbler	0.030106372816045585
cocoapowder	0.004232124713826807
coffee	0.001956065085291267
cold	0.02398990241962693
coldnoodles	0.025297190091665624
comfortfood	-0.025736961697974348
condiment	-0.01611319744749281
cookies	0.013050070974299506
corn	0.029891392987637596
cranberry	0.005723368228897698
creamcheese	0.0011192394567028556
creamy	-0.03622914746050573
crisp	0.0019678613904703744
crispy	0.15135568710515582
croissant	0.001956065085291267
croissants	-0.005782271892226291
crumble	0.012437122695080174
