curr_state	curr_action	next_reward	next_state	old_value	new_value
1029	1	0	902	0.0	0.0
902	1	0	903	0.0	0.0
903	1	0	1024	0.0	0.0
1024	1	0	1153	0.0	0.0
1153	-1	0	1288	0.0	0.0
1288	1	0	1417	0.0	0.0
1417	-1	0	1552	0.0	0.0
1552	-1	0	1687	0.0	0.0
1687	1	0	1800	0.0	0.0
1800	0	0	1928	0.0	0.0
1928	-1	0	1935	0.0	0.0
1935	-1	0	1926	0.0	0.0
1926	0	0	1926	0.0	0.0
1926	0	0	1926	0.0	0.0
1926	0	0	1926	0.0	0.0
1926	1	0	1927	0.0	0.0
1927	-1	0	1926	0.0	0.0
1926	1	0	1927	0.0	0.0
1927	0	0	1927	0.0	0.0
1927	-1	0	1926	0.0	0.0
1926	1	0	1927	0.0	0.0
1927	1	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	1	0	1921	0.0	0.0
1921	1	0	1930	0.0	0.0
1930	-1	0	1937	0.0	0.0
1937	1	0	1946	0.0	0.0
1946	0	0	1954	0.0	0.0
1954	1	0	1963	0.0	0.0
1963	1	0	1844	0.0	0.0
1844	0	0	1716	0.0	0.0
1716	-1	0	1587	0.0	0.0
1587	0	0	1467	0.0	0.0
1467	1	0	1348	0.0	0.0
1348	0	0	1220	0.0	0.0
1220	-1	0	1091	0.0	0.0
1091	-1	0	970	0.0	0.0
970	-1	0	977	0.0	0.0
977	-1	0	1112	0.0	0.0
1112	1	0	1241	0.0	0.0
1241	-1	0	1376	0.0	0.0
1376	1	0	1505	0.0	0.0
1505	-1	0	1640	0.0	0.0
1640	1	0	1769	0.0	0.0
1769	1	0	1906	0.0	0.0
1906	1	0	1915	0.0	0.0
1915	1	0	1788	0.0	0.0
1788	0	0	1660	0.0	0.0
1660	-1	0	1531	0.0	0.0
1531	0	0	1403	0.0	0.0
1403	-1	0	1274	0.0	0.0
1274	0	0	1274	0.0	0.0
1274	-1	0	1273	0.0	0.0
1273	-1	0	1400	0.0	0.0
1400	0	0	1528	0.0	0.0
1528	-1	0	1663	0.0	0.0
1663	0	0	1783	0.0	0.0
1783	1	0	1896	0.0	0.0
1896	0	0	2024	0.0	0.0
2024	-1	0	2031	0.0	0.0
2031	0	0	2023	0.0	0.0
2023	-1	0	2014	0.0	0.0
2014	0	0	2006	0.0	0.0
2006	0	0	1998	0.0	0.0
1998	1	0	1991	0.0	0.0
1991	0	0	1983	0.0	0.0
1983	0	0	1975	0.0	0.0
1975	-1	0	1966	0.0	0.0
1966	0	0	1958	0.0	0.0
1958	1	0	1951	0.0	0.0
1951	-1	0	1942	0.0	0.0
1942	-1	0	1933	0.0	0.0
1933	1	0	1798	0.0	0.0
1798	-1	0	1797	0.0	0.0
1797	-1	0	1668	0.0	0.0
1668	1	0	1541	0.0	0.0
1541	0	0	1413	0.0	0.0
1413	0	0	1285	0.0	0.0
1285	0	0	1157	0.0	0.0
