index	x	v	a	u
0	-5.0	0.0	0.0	1.702187750335369
1	-5.0	-0.01702187750335369	1.5319689753018322	-1.2632004503621268
2	-5.018724065253689	1.4526828412873434	0.5482854675061015	-1.249321022901088
3	-3.4207729398376117	1.8407789615184165	-0.5212749063542674	-0.21212737826904893
4	-1.3959160821673535	1.1636111781127112	-0.7643170374318382	0.4528954342657632
5	-0.1159437862433712	0.31661992039853615	-0.4331428503358352	0.47250687389447044
6	0.2323381261950186	-0.13125284819930558	-0.05120094886439536	0.19139570031678166
7	0.08795999317578243	-0.16868242180371842	0.11593508653426861	-0.036724433814904256
8	-0.09759067080830786	-0.04130860307764238	0.09447660475428166	-0.09731075008944684
9	-0.14303013419371446	0.0535481392475839	0.01634459014920768	-0.05280005342305059
10	-0.08412718102137218	0.06424868649880332	-0.02954099891661708	0.002717437174920158
11	-0.013453625872688516	0.02973269450638756	-0.03004940535085065	0.024523896826061195
12	0.0192523380843378	-0.0020327489958199235	-0.010982838742480638	0.01750641944277595
13	0.017016314188935885	-0.012438235096022297	0.0036746548817696532	0.0032122019937285175
14	0.003334255583311359	-0.007735611468676181	0.006933102164302285	-0.004598240952647943
15	-0.005174917032232442	-0.0003296208561949129	0.0034879955233493663	-0.00461171642159381
16	-0.005537499974046846	0.0030630541408224144	-0.0003137497037501262	-0.0014853171236914214
17	-0.00216814041914219	0.0024735396794144677	-0.001681910085447418	0.0008021388147591104
18	0.0005527532282137248	0.0006203497421503829	-0.0011281761607089607	0.001205368262994655
19	0.001235137944579146	-0.0005255062673681146	-0.0001561623400846675	0.00056726882443043
20	0.00065708105047422	-0.0006269825519560416	0.00033876336789425267	-6.917055118866667e-05
21	-3.259975667742592e-05	-0.0002417673917490108	0.00031038620861387797	-0.000279864551628877
22	-0.0002985438876013378	8.00748911253631e-05	8.954673300927651e-05	-0.0001770980397279003
23	-0.00021046150736343843	0.00015890777876891845	-6.088682944490608e-05	-1.6213779644593516e-05
24	-3.56629507176281e-05	8.533665071581178e-05	-8.156791406953087e-05	6.026007421715045e-05
25	5.820736506976487e-05	-1.2891334639952167e-06	-3.549063868104856e-05	5.107095232007161e-05
26	5.678931825937013e-05	-3.5387036387792544e-05	6.9241545389110294e-06	1.317127444138191e-05
27	1.7863578232798328e-05	-2.540209868146163e-05	1.9470716990045855e-05	-1.1025825827227312e-05
28	-1.007873031680947e-05	-4.254449414499635e-06	1.149454544454586e-05	-1.345323404458043e-05
29	-1.475862467275907e-05	7.225346039714698e-06	5.360893488780595e-07	-5.414865496405269e-06
30	-6.810744029072901e-06	7.066244972141438e-06	-4.283680662998877e-06	1.4853432722662354e-06
31	9.621254402826816e-07	2.2752704123556987e-06	-3.375239784259153e-06	3.296443632946984e-06
32	3.4649228938739504e-06	-1.1916988602555361e-06	-7.459644930327831e-07	1.8244799535569192e-06
33	2.1540541475928604e-06	-1.7994400421466958e-06	8.214710158651658e-07	4.202929088695608e-09
34	1.7467010123149502e-07	-8.391406021510057e-07	9.074007536315084e-07	-7.380181881688711e-07
35	-7.483845611346113e-07	1.1418435589571651e-07	3.3392445964267544e-07	-5.448669387437285e-07
36	-6.227817696493232e-07	4.254428263541238e-07	-1.2306333926241264e-07	-1.0112062171771539e-07
37	-1.5479466065978699e-07	2.6699957763659655e-07	-2.2637823273459778e-07	1.4703039359759705e-07
