recipe_slug	recipe_tag
spam-musubi	hawaiian
spam-musubi	nori
spam-musubi	onthego
spam-musubi	rice
spam-musubi	snack
spam-musubi	spam
spam-musubi	sushi
asparagus-quiche	asparagus
asparagus-quiche	brunch
asparagus-quiche	cheese
asparagus-quiche	custard
asparagus-quiche	eggs
asparagus-quiche	herbs
asparagus-quiche	quiche
asparagus-quiche	savory
asparagus-quiche	spices
asparagus-quiche	vegetarian
pain-au-chocolat	breakfastpastry
pain-au-chocolat	buttery
pain-au-chocolat	chocolate
pain-au-chocolat	chocolatecroissant
pain-au-chocolat	flaky
pain-au-chocolat	frenchpastry
pain-au-chocolat	fresh
pain-au-chocolat	oven
pain-au-chocolat	puffpastry
pain-au-chocolat	sweettreat
pain-au-chocolat	warm
chocolate-peanut-butter-cake	baking
chocolate-peanut-butter-cake	cake
chocolate-peanut-butter-cake	chocolate
chocolate-peanut-butter-cake	dessert
chocolate-peanut-butter-cake	frosting
chocolate-peanut-butter-cake	ganache
chocolate-peanut-butter-cake	peanutbutter
bacon-wrapped-asparagus	appetizer
bacon-wrapped-asparagus	asparagus
bacon-wrapped-asparagus	bacon
bacon-wrapped-asparagus	easy
bacon-wrapped-asparagus	glutenfree
bacon-wrapped-asparagus	keto
bacon-wrapped-asparagus	lowcarb
bacon-wrapped-asparagus	quick
bacon-wrapped-asparagus	sidedish
vanilla-souffle	custard
vanilla-souffle	dessert
vanilla-souffle	eggwhites
vanilla-souffle	french
vanilla-souffle	souffle
vanilla-souffle	vanilla
breakfast-burritos	bacon
breakfast-burritos	breakfast
breakfast-burritos	burritos
breakfast-burritos	cheese
breakfast-burritos	eggs
breakfast-burritos	greenonions
breakfast-burritos	potatoes
breakfast-burritos	tortillas
chocolate-croissants	breakfast
chocolate-croissants	brunch
chocolate-croissants	chocolate
chocolate-croissants	croissants
chocolate-croissants	dessert
chocolate-croissants	french
chocolate-croissants	pastry
croissant-aux-amandes	almond
croissant-aux-amandes	breakfast
croissant-aux-amandes	coffee
croissant-aux-amandes	croissant
croissant-aux-amandes	frenchpastry
croissant-aux-amandes	sweettreat
croissant-aux-amandes	tea
blueberry-crisp	baking
blueberry-crisp	blueberry
blueberry-crisp	crisp
blueberry-crisp	dessert
blueberry-crisp	easy
blueberry-crisp	fruit
blueberry-crisp	summer
vegetable-lasagna	comfortfood
vegetable-lasagna	healthy
vegetable-lasagna	italian
vegetable-lasagna	pasta
vegetable-lasagna	vegetarian
brownies	chocolate
brownies	classic
brownies	decadent
brownies	dessert
brownies	easy
brownies	fudgy
brownies	rich
pico-de-gallo	condiment
pico-de-gallo	fresh
pico-de-gallo	mexican
pico-de-gallo	salsa
pico-de-gallo	vegan
pico-de-gallo	vegetarian
burritos	customizable
burritos	easy
burritos	filling
burritos	handheld
burritos	mexican
taco-salad	avocado
taco-salad	cheese
taco-salad	groundbeef
taco-salad	lettuce
taco-salad	salad
taco-salad	salsa
taco-salad	sourcream
taco-salad	taco
taco-salad	tomatoes
taco-salad	tortillabowl
asparagus-burger	asparagus
asparagus-burger	avocado
asparagus-burger	burger
asparagus-burger	chickpeas
asparagus-burger	grill
asparagus-burger	healthy
asparagus-burger	lettuce
asparagus-burger	summer
asparagus-burger	tomato
asparagus-burger	vegetarian
quesadillas	bellpeppers
quesadillas	blackbeans
quesadillas	cheese
quesadillas	chicken
quesadillas	chilipowder
quesadillas	cumin
quesadillas	guacamole
quesadillas	mexican
quesadillas	onions
quesadillas	salsa
quesadillas	sourcream
quesadillas	tortilla
classic-beef-lasagna	cheesy
classic-beef-lasagna	comfortfood
classic-beef-lasagna	groundbeef
classic-beef-lasagna	italian
classic-beef-lasagna	pasta
classic-beef-lasagna	tomatosauce
tamales	celebration
tamales	chicken
tamales	corn
tamales	holiday
tamales	masa
tamales	mexican
tamales	salsa
tamales	steamed
tamales	traditional
fried-oysters	appetizer
fried-oysters	friedfood
fried-oysters	oysters
fried-oysters	seafood
fried-oysters	southerncuisine
cherry-pie	american
cherry-pie	baking
cherry-pie	cherry
cherry-pie	dessert
cherry-pie	fruit
cherry-pie	pie
cherry-pie	summer
chocolate-souffle	baking
chocolate-souffle	chocolate
chocolate-souffle	dessert
chocolate-souffle	frenchcuisine
chocolate-souffle	souffle
bacon-wrapped-dates	appetizer
bacon-wrapped-dates	bacon
bacon-wrapped-dates	cheese
bacon-wrapped-dates	dates
bacon-wrapped-dates	easy
bacon-wrapped-dates	partyfood
bacon-wrapped-dates	quick
brioche-bread	bread
brioche-bread	buttery
brioche-bread	french
brioche-bread	goldenbrown
brioche-bread	pastry
brioche-bread	savory
brioche-bread	soft
brioche-bread	sweet
brioche-bread	tender
apple-pie	apple
apple-pie	baking
apple-pie	cinnamon
apple-pie	cloves
apple-pie	crust
apple-pie	dessert
apple-pie	lattice
apple-pie	nutmeg
apple-pie	pastry
apple-pie	pie
pickled-green-beans	appetizers
pickled-green-beans	greenbeans
pickled-green-beans	pickledvegetables
pickled-green-beans	sidedishes
pickled-green-beans	snacks
bacon-egg-muffins	bacon
bacon-egg-muffins	breakfast
bacon-egg-muffins	brunch
bacon-egg-muffins	eggs
bacon-egg-muffins	mealprep
bacon-egg-muffins	muffins
bacon-egg-muffins	protein
dan-dan-noodles	blackvinegar
dan-dan-noodles	chilioil
dan-dan-noodles	chinesecuisine
dan-dan-noodles	noodles
dan-dan-noodles	peanuts
dan-dan-noodles	pork
dan-dan-noodles	scallions
dan-dan-noodles	sichuancuisine
dan-dan-noodles	sichuanpeppercorns
dan-dan-noodles	soysauce
dan-dan-noodles	spicy
cold-sesame-noodles	chinese
cold-sesame-noodles	cold
cold-sesame-noodles	noodles
cold-sesame-noodles	sesame
cold-sesame-noodles	vegetarian
bacon-wrapped-shrimp-skewers	appetizer
bacon-wrapped-shrimp-skewers	bacon
bacon-wrapped-shrimp-skewers	broiling
bacon-wrapped-shrimp-skewers	grilling
bacon-wrapped-shrimp-skewers	seafood
bacon-wrapped-shrimp-skewers	shrimp
bacon-wrapped-shrimp-skewers	skewers
sujebi	chicken
sujebi	comfortfood
sujebi	handtorndough
