month	price
2020-01-01	4.049
2020-02-01	3.625
2020-03-01	3.377
2020-04-01	3.2328
2020-05-01	3.126
2020-06-01	2.926
2020-07-01	2.926
2020-08-01	3.178
2020-09-01	3.204
2020-10-01	3.869
2020-11-01	4.114
2020-12-01	4.577
2021-01-01	4.257
2021-02-01	4.061
2021-03-01	3.810
2021-04-01	3.944
2021-05-01	3.742
2021-06-01	3.313
2021-07-01	3.233
2021-08-01	3.464
2021-09-01	3.490
2021-10-01	3.793
2021-11-01	4.303
2021-12-01	4.3183
2022-01-01	4.338
2022-02-01	4.259
2022-03-01	3.824
2022-04-01	3.910
2022-05-01	3.469
2022-06-01	3.312
2022-07-01	3.170
2022-08-01	3.625
2022-09-01	3.917
2022-10-01	4.340
2022-11-01	5.020
2022-12-01	5.313
2023-01-01	4.807
2023-02-01	4.420
2023-03-01	3.744
2023-04-01	4.062
2023-05-01	3.768
2023-06-01	3.549
2023-07-01	3.447
2023-08-01	3.692
2023-09-01	3.716
2023-10-01	3.702
2023-11-01	4.155
2023-12-01	4.946
2024-01-01	5.055
2024-02-01	4.264
2024-03-01	3.742
2024-04-01	3.576
2024-05-01	3.237
2024-06-01	2.977
2024-07-01	3.116
2024-08-01	3.347
2024-09-01	3.742
2024-10-01	3.718
2024-11-01	4.420
2024-12-01	4.857
