buy_month	sell_month	pints_purchased	expected_profit
2025-01	2025-02	211483.0549077231	-111426.61870038748
2025-01	2025-03	207103.17372174707	102107.5176032799
2025-01	2025-04	202901.0290156913	-176542.89367240458
2025-01	2025-05	198866.01706580096	14210.816142357768
2025-01	2025-06	194988.36118940843	-300929.6267264421
2025-01	2025-07	191259.03265539376	-74562.88928497843
2025-01	2025-08	187669.6805002709	-287147.71110160777
2025-01	2025-09	184212.5691015291	-390829.2699855858
2025-01	2025-10	180880.5225260343	-244033.2247273139
2025-01	2025-11	177666.87481089804	-287973.478127494
2025-01	2025-12	174565.42545189083	-131703.40238371494
2025-02	2025-03	201268.92400343486	71060.33296300145
2025-02	2025-04	197297.9297995488	-199282.610121227
2025-02	2025-05	193480.59766203884	-13254.663829271833
2025-02	2025-06	189808.177695865	-319501.57013048587
2025-02	2025-07	186272.57195216868	-98690.66888219718
2025-02	2025-08	182866.2748187879	-305393.1662301348
2025-02	2025-09	179582.3198336582	-406140.9956751778
2025-02	2025-10	176414.23212793734	-262699.50842955586
2025-02	2025-11	173355.98581569165	-305250.0092799797
2025-02	2025-12	170401.9657401108	-152412.64588192056
2025-03	2025-04	160957.48888813346	-346767.29494886694
2025-03	2025-05	158407.79676930455	-192124.91296816117
2025-03	2025-06	155937.62323627455	-440933.9520665952
2025-03	2025-07	153543.3054250915	-257056.40685606835
2025-03	2025-08	151221.40203317252	-425594.3619533396
2025-03	2025-09	148968.67681645148	-507376.9501822456
2025-03	2025-10	146782.0835399211	-386543.24516610545
2025-03	2025-11	144658.75223439612	-420258.4566115438
2025-03	2025-12	142595.97662911483	-290720.93732011935
2025-04	2025-05	207928.18163150278	60427.58789555101
2025-04	2025-06	203692.8335817016	-269722.43709054956
2025-04	2025-07	199626.5831438218	-34075.171448795365
2025-04	2025-08	195719.5016077648	-256570.93713149737
2025-04	2025-09	191962.42263912986	-365201.3556688213
2025-04	2025-10	188346.87048367536	-212828.58804350885
2025-04	2025-11	184864.99613526987	-259125.932426789
2025-04	2025-12	181509.52045551752	-97163.14878215056
2025-05	2025-06	167598.6867455704	-399126.82075637573
2025-05	2025-07	164836.05609262604	-202414.6448190399
2025-05	2025-08	162163.02474827046	-384033.2489598694
2025-05	2025-09	159575.3033614489	-472302.0013504684
2025-05	2025-10	157068.87207051954	-343550.94149079255
2025-05	2025-11	154639.9596663373	-380257.27789200237
2025-05	2025-12	152285.02465922828	-242527.15887338525
2025-06	2025-07	233451.51325711148	129592.10825862156
2025-06	2025-08	228125.8800656674	-133477.2067162102
2025-06	2025-09	223037.81038741264	-262438.46205937944
2025-06	2025-10	218171.75532774476	-88179.33502509617
2025-06	2025-11	213513.493951587	-144312.80094836486
2025-06	2025-12	209049.9944784222	39824.458179104295
2025-07	2025-08	176171.49995725162	-330822.87640486215
2025-07	2025-09	173121.59092247186	-427505.91646450496
2025-07	2025-10	170175.4858380432	-288773.54254142055
2025-07	2025-11	167327.9739125567	-329408.1668080141
2025-07	2025-12	164574.18737930822	-181400.28824722543
2025-08	2025-09	221214.93359884195	-268466.5153536577
2025-08	2025-10	216427.2398496107	-95470.31208553936
2025-08	2025-11	211842.39340092105	-151009.9858572365
2025-08	2025-12	207447.77018671719	31854.9195519433
2025-09	2025-10	251615.21953544693	51593.30294594476
2025-09	2025-11	245439.58600393988	-16364.221309005543
2025-09	2025-12	239559.8392276201	191581.85412937254
2025-10	2025-11	202275.7911583098	-189349.5723907099
2025-10	2025-12	198265.362845425	-13818.804392711094
2025-11	2025-12	210395.93064427693	46519.20767142235
