action	state	reward
do-nothing	exposed-1	0.00
do-nothing	exposed-2	0.00
do-nothing	exposed-3	0.00
do-nothing	symptoms-1	-0.50
do-nothing	symptoms-2	-1.00
do-nothing	symptoms-3	-0.50
do-nothing	recovered	0.00
drink-oj	exposed-1	0.00
drink-oj	exposed-2	0.00
drink-oj	exposed-3	0.00
drink-oj	symptoms-1	-0.375
drink-oj	symptoms-2	-0.750
drink-oj	symptoms-3	-0.375
drink-oj	recovered	0.00
sleep-8	exposed-1	0.00
sleep-8	exposed-2	0.00
sleep-8	exposed-3	0.00
sleep-8	symptoms-1	-1.00
sleep-8	symptoms-2	-2.00
sleep-8	symptoms-3	-1.00
sleep-8	recovered	0.00
